Esn,Country,Region Code,Device Description,Ip,Ts
NFAPPL-02-IPHONE6=2-524BBBE6FB636E3A03BC6D236CE1B978AF04C7157E33DC7067C7CF3E2A0A32DE,BR,CE,iPhone 5S CDMA,2804:248:fa48:6800:85d4:9275:2659:30b0,2022-03-05 16:59:09
NFANDROID1-PRV-C-L3-GOOGLGOOGLE=PIXELBOOK=GO-4464-01F924655B4F21DD092DBE063F736341150D7D670877A3179CA6D9ECF5814951A,BR,CE,Netflix Netflix ChromeOS L3 Laptop/Desktop,2804:248:faee:e700:4084:58ff:fe1b:c6fd,2022-04-20 19:33:15
NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,NL,NH,iPad Pro 10.5-Inch (Wi-Fi),2a02:a45b:17b6:1:3009:ca75:b324:2f08,2022-07-01 08:28:13
NFAPPL-01-IPAD13=4-BBDD8FB033A865BF3AC0CC10192B033775B7316B3915E3DBC5FD5CC0F35317A3,NL,NH,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2a02:a45b:17b6:1:9c5b:dd77:5d6e:e564,2022-06-12 19:08:06
NFCDSF-01-JADGLJ6XYYAK2EFTMVCMYW6D64NAHL,NL,NH,Safari - OS X,2a02:a45b:17b6:1:9c5b:dd77:5d6e:e564,2022-06-12 19:28:56
NFCDCH-02-HVMN7C2JQEJHAQ8CQ3DJ38875GEQXG,BR,CE,Chrome - Windows,2804:248:fa79:2200:2506:6be8:2ca8:717a,2021-12-15 20:49:51
NFCDIE-03-HY65QGULL201G6VW00489GRU2MY4FY,BR,CE,Edge - Windows,2804:248:fabf:c000:f1a9:bef4:194f:91ea,2022-01-15 18:48:19
NFCDCH-02-HY66MTCLU3PUH23EAQ7KCQ4MJ7V172,BR,CE,Chrome - Windows,2804:248:fabf:c000:f1a9:bef4:194f:91ea,2022-01-15 19:04:18
NFCDCH-02-HY65F2U2G3J2FYK0NLANC587JMLDGJ,BR,CE,Chrome - Windows,2804:248:fabf:c000:f1a9:bef4:194f:91ea,2022-01-15 18:43:28
NFCDCH-02-HY66UAVQEC068AY6LG3AFAA8UC2PW9,BR,CE,Chrome - Windows,2804:248:fabf:c000:f1a9:bef4:194f:91ea,2022-01-15 19:07:12
NFCDCH-01-HRAW1ET1X5PX1809YY7MRKHJ65J568,BR,CE,Chrome - Chrome OS,2804:248:fa55:8e00:2904:4e3:937e:1328,2021-11-05 17:56:03
